date,tco
1998/04/06 00:00:00,10.2969
1998/04/07 00:00:00,10.3001
1998/04/08 00:00:00,10.3033
1998/04/13 00:00:00,10.3193
1998/04/14 00:00:00,10.3225
1998/04/15 00:00:00,10.3257
1998/04/16 00:00:00,10.3289
1998/04/17 00:00:00,10.3321
1998/04/20 00:00:00,10.3417
1998/04/21 00:00:00,10.3449
1998/04/22 00:00:00,10.3481
1998/04/23 00:00:00,10.3514
1998/04/24 00:00:00,10.3546
1998/04/27 00:00:00,10.3642
1998/04/28 00:00:00,10.3674
1998/04/29 00:00:00,10.3707
1998/04/30 00:00:00,10.3739
1998/05/04 00:00:00,10.3868
1998/05/05 00:00:00,10.39
1998/05/06 00:00:00,10.3932
1998/05/07 00:00:00,10.3964
1998/05/08 00:00:00,10.3997
1998/05/11 00:00:00,10.4094
1998/05/12 00:00:00,10.4126
1998/05/13 00:00:00,10.4158
1998/05/14 00:00:00,10.4191
1998/05/15 00:00:00,10.4223
1998/05/18 00:00:00,10.432
1998/05/19 00:00:00,10.4353
1998/05/20 00:00:00,10.4385
1998/05/21 00:00:00,10.4417
1998/05/22 00:00:00,10.445
1998/05/25 00:00:00,10.4547
1998/05/26 00:00:00,10.458
1998/05/27 00:00:00,10.4612
1998/05/28 00:00:00,10.4645
1998/05/29 00:00:00,10.4677
1998/05/30 00:00:00,10.471
1998/05/31 00:00:00,10.4742
1998/06/01 00:00:00,10.4775
1998/06/02 00:00:00,10.4807
1998/06/03 00:00:00,10.484
1998/06/04 00:00:00,10.4872
1998/06/05 00:00:00,10.4905
1998/06/08 00:00:00,10.5003
1998/06/09 00:00:00,10.5035
1998/06/10 00:00:00,10.5068
1998/06/11 00:00:00,10.51
1998/06/12 00:00:00,10.5133
1998/06/15 00:00:00,10.5231
1998/06/16 00:00:00,10.5264
1998/06/17 00:00:00,10.5296
1998/06/18 00:00:00,10.5329
1998/06/19 00:00:00,10.5362
1998/06/22 00:00:00,10.546
1998/06/23 00:00:00,10.5493
1998/06/24 00:00:00,10.5526
1998/06/25 00:00:00,10.5558
1998/06/26 00:00:00,10.5591
1998/06/29 00:00:00,10.5689
1998/06/30 00:00:00,10.5722
1998/07/01 00:00:00,10.5755
1998/07/02 00:00:00,10.5788
1998/07/03 00:00:00,10.5821
1998/07/06 00:00:00,10.5919
1998/07/07 00:00:00,10.5952
1998/07/08 00:00:00,10.5985
1998/07/09 00:00:00,10.6018
1998/07/10 00:00:00,10.6051
1998/07/13 00:00:00,10.615
1998/07/14 00:00:00,10.6183
1998/07/15 00:00:00,10.6216
1998/07/16 00:00:00,10.6249
1998/07/17 00:00:00,10.6282
1998/07/21 00:00:00,10.6414
1998/07/22 00:00:00,10.6447
1998/07/23 00:00:00,10.648
1998/07/24 00:00:00,10.6513
1998/07/27 00:00:00,10.6612
1998/07/28 00:00:00,10.6645
1998/07/29 00:00:00,10.6679
1998/07/30 00:00:00,10.6712
1998/07/31 00:00:00,10.6745
1998/08/03 00:00:00,10.6844
1998/08/04 00:00:00,10.6877
1998/08/05 00:00:00,10.6911
1998/08/06 00:00:00,10.6944
1998/08/07 00:00:00,10.6977
1998/08/11 00:00:00,10.711
1998/08/12 00:00:00,10.7143
1998/08/13 00:00:00,10.7177
1998/08/14 00:00:00,10.721
1998/08/17 00:00:00,10.731
1998/08/18 00:00:00,10.7343
1998/08/19 00:00:00,10.7376
1998/08/20 00:00:00,10.741
1998/08/21 00:00:00,10.7443
1998/08/24 00:00:00,10.7543
1998/08/25 00:00:00,10.7577
1998/08/26 00:00:00,10.761
1998/08/27 00:00:00,10.7643
1998/08/28 00:00:00,10.7677
1998/08/31 00:00:00,10.7777
1998/09/01 00:00:00,10.7811
1998/09/02 00:00:00,10.7844
1998/09/03 00:00:00,10.7878
1998/09/04 00:00:00,10.7911
1998/09/07 00:00:00,10.8012
1998/09/08 00:00:00,10.8045
1998/09/09 00:00:00,10.8079
1998/09/10 00:00:00,10.8112
1998/09/11 00:00:00,10.8146
1998/09/16 00:00:00,10.8314
1998/09/17 00:00:00,10.8348
1998/09/18 00:00:00,10.8381
1998/09/21 00:00:00,10.8482
1998/09/22 00:00:00,10.8516
1998/09/23 00:00:00,10.855
1998/09/24 00:00:00,10.8583
1998/09/25 00:00:00,10.8617
1998/09/28 00:00:00,10.8718
1998/09/29 00:00:00,10.8752
1998/09/30 00:00:00,10.8786
1998/10/01 00:00:00,10.882
1998/10/02 00:00:00,10.8853
1998/10/05 00:00:00,10.8955
1998/10/06 00:00:00,10.8989
1998/10/07 00:00:00,10.9022
1998/10/08 00:00:00,10.9056
1998/10/09 00:00:00,10.909
1998/10/12 00:00:00,10.9192
1998/10/13 00:00:00,10.9226
1998/10/14 00:00:00,10.926
1998/10/15 00:00:00,10.9294
1998/10/16 00:00:00,10.9328
1998/10/19 00:00:00,10.9429
1998/10/20 00:00:00,10.9463
1998/10/21 00:00:00,10.9497
1998/10/22 00:00:00,10.9531
1998/10/23 00:00:00,10.9565
1998/10/26 00:00:00,10.9668
1998/10/27 00:00:00,10.9702
1998/10/28 00:00:00,10.9736
1998/10/29 00:00:00,10.977
1998/10/30 00:00:00,10.9804
1998/10/31 00:00:00,10.9838
1998/11/02 00:00:00,10.9906
1998/11/03 00:00:00,10.994
1998/11/04 00:00:00,10.9974
1998/11/05 00:00:00,11.0009
1998/11/06 00:00:00,11.0043
1998/11/09 00:00:00,11.0145
1998/11/10 00:00:00,11.018
1998/11/11 00:00:00,11.0214
1998/11/12 00:00:00,11.0248
1998/11/13 00:00:00,11.0282
1998/11/16 00:00:00,11.0385
1998/11/17 00:00:00,11.0419
1998/11/18 00:00:00,11.0454
1998/11/19 00:00:00,11.0488
1998/11/20 00:00:00,11.0522
1998/11/23 00:00:00,11.0625
1998/11/24 00:00:00,11.0659
1998/11/25 00:00:00,11.0694
1998/11/26 00:00:00,11.0728
1998/11/27 00:00:00,11.0763
1998/11/30 00:00:00,11.0866
1998/12/01 00:00:00,11.09
1998/12/02 00:00:00,11.0935
1998/12/03 00:00:00,11.0969
1998/12/04 00:00:00,11.1004
1998/12/07 00:00:00,11.1107
1998/12/09 00:00:00,11.1176
1998/12/10 00:00:00,11.1211
1998/12/11 00:00:00,11.1245
1998/12/14 00:00:00,11.1349
1998/12/15 00:00:00,11.1383
1998/12/16 00:00:00,11.1418
1998/12/17 00:00:00,11.1453
1998/12/18 00:00:00,11.1487
1998/12/21 00:00:00,11.1591
1998/12/22 00:00:00,11.1626
1998/12/23 00:00:00,11.166
1998/12/24 00:00:00,11.1695
1998/12/28 00:00:00,11.1834
1998/12/29 00:00:00,11.1869
1998/12/30 00:00:00,11.1903
1998/12/31 00:00:00,11.1938
1999/01/04 00:00:00,11.2077
1999/01/05 00:00:00,11.2112
1999/01/06 00:00:00,11.2147
1999/01/07 00:00:00,11.2182
1999/01/08 00:00:00,11.2216
1999/01/11 00:00:00,11.2321
1999/01/12 00:00:00,11.2356
