date,code,conc,type,stock_cord,stock_usd,flow_cord,flow_usd
2019-03-01,dai,DAI,ejecutado,413455105.85,12710783,413455105.85,12710783
2019-06-01,dai,DAI,ejecutado,867077021.6,26335878,453621915.75,13777935.9
2019-09-01,dai,DAI,ejecutado,1398993259.75,41975301,531916238.15,15959579.6
2019-12-01,dai,DAI,ejecutado,1988480819.16,58997071,589487559.4100001,17489753.5
2020-03-01,dai,DAI,ejecutado,563930033.44,16603718,563930033.44,16603717.6
2020-06-01,dai,DAI,ejecutado,1022360979.75,29880826,458430946.30999994,13398687.7
2005-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,14278230.93,869097.4,14278230.93,869097.382
2005-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,28087095.9,1689068.2,13808864.969999999,830421.024
2005-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,47038360.29,2794098.9,18951264.39,1125713.289
2005-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,63202848.98,3708721.4,16164488.689999998,948526.627
2006-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,12607749.31,730874,12607749.31,730873.991
2006-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,29394117.46,1683493.1,16786368.15,961407.855
2006-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,48344487.8,2735181.3,18950370.339999996,1072153.243
2006-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,66365819.38,3708877,18021331.580000006,1007128.423
2007-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,12467187.69,688310,12467187.69,688309.956
2007-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,30480508.59,1662585.2,18013320.9,982551.863
2007-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,55072854.55,2967477.4,24592345.959999997,1325103.461
2007-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,78143203.32,4159107.6,23070348.769999996,1227900.302
2008-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,6594076.56,346703.7,6594076.56,346703.661
2008-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,10969929.41,569822.9,4375852.850000001,227299.657
2008-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,16239009.57,833294.2,5269080.16,270379.409
2008-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,79198387.88,4014474.8,62959378.309999995,3191338.16
2009-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,3051070.19,152788,3051070.19,152787.954
2009-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,28498340.44,1409946.9,25447270.25,1258996.155
2009-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,47381238.6,2315675,18882898.16,922868.574
2009-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,63628526.55,3071723.7,16247287.949999996,784352.279
2010-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,20688091.41,986661.3,20688091.41,986661.291
2010-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,46214529.71,2177570.9,25526438.3,1202773.878
2010-09-01,difcam,Utilidad por diferencia de cambios,ejecutado,77753888.95,3619129.3,31539359.240000002,1468029.706
2010-12-01,difcam,Utilidad por diferencia de cambios,ejecutado,112380706.75,5166934,34626817.8,1592039.112
2011-03-01,difcam,Utilidad por diferencia de cambios,ejecutado,25799564.96,1171846.5,25799564.96,1171846.546
2011-06-01,difcam,Utilidad por diferencia de cambios,ejecutado,53741842.83,2411665.6,27942277.869999997,1253909.938
