date,concept,type,stock_cord,stock_usd,flow_cord,flow_usd
2012-12-01,Gasto de consumo,ejecutado,20770180856.04,866154824,6758049370.830002,281823114.9
2013-03-01,Gasto de consumo,ejecutado,4956366747.4,204194077,4956366747.4,204194076.6
2013-06-01,Gasto de consumo,ejecutado,10508855436.23,427741492,5552488688.83,226002708.7
2013-09-01,Gasto de consumo,ejecutado,15821546198.56,636155001,5312690762.33,213613432.9
2013-12-01,Gasto de consumo,ejecutado,22489589297.41,893212212,6668043098.85,264832649.6
2014-03-01,Gasto de consumo,ejecutado,6030564867.65,236618297,6030564867.65,236618297.1
2014-06-01,Gasto de consumo,ejecutado,12565277928.12,487089429,6534713060.470001,253316295.2
2014-09-01,Gasto de consumo,ejecutado,18884115564.34,723138430,6318837636.219999,241970258.7
2014-12-01,Gasto de consumo,ejecutado,26883113509.16,1016865308,7998997944.82,302565530.7
2015-03-01,Gasto de consumo,ejecutado,8331980862.55,311350397,8331980862.55,311350397.1
2015-06-01,Gasto de consumo,ejecutado,14172789130.51,523241974,5840808267.96,215635470.2
2015-09-01,Gasto de consumo,ejecutado,20793236080.56,758328819,6620446950.050001,241447540.7
2015-12-01,Gasto de consumo,ejecutado,30393481744.63,1094901212,9600245664.07,345841279.3
2016-03-01,Gasto de consumo,ejecutado,7851735033.59,279418892,7851735033.59,279418891.8
2016-06-01,Gasto de consumo,ejecutado,16565454492.48,582404920,8713719458.89,306355197.5
2016-09-01,Gasto de consumo,ejecutado,24679632256.94,857162206,8114177764.459999,281818077.4
2016-12-01,Gasto de consumo,ejecutado,35600078336.02,1221374957,10920446079.079998,374660955.4
2017-03-01,Gasto de consumo,ejecutado,8525205346.01,288953139,8525205346.01,288953138.9
2017-06-01,Gasto de consumo,ejecutado,17885709993.96,598928423,9360504647.949999,313449803.9
2017-09-01,Gasto de consumo,ejecutado,26873716623.02,888964690,8988006629.060001,297317287.4
2017-12-01,Gasto de consumo,ejecutado,38460755737.85,1256706249,11587039114.829998,378606820.8
2018-03-01,Gasto de consumo,ejecutado,10884791134.79,351360830,10884791134.79,351360829.6
2018-03-01,Gasto de consumo,ejecutado,2593727407.76,83725466,2593727407.76,83725466.3
2018-06-01,Gasto de consumo,ejecutado,18417558266.16,587369631,15823830858.4,504650918
2018-06-01,Gasto de consumo,ejecutado,4775240479.2,152291156,-13642317786.96,-435078474.8
2018-09-01,Gasto de consumo,ejecutado,27326275470.3,860890577,22551034991.1,710450772.8
2018-09-01,Gasto de consumo,ejecutado,6616349380.95,208442341,-20709926089.35,-652448235.8
2018-12-01,Gasto de consumo,ejecutado,39230415807.19,1220813911,32614066426.24,1014919296
2018-12-01,Gasto de consumo,ejecutado,9845547880.56,306384257,-29384867926.630005,-914429653.7
2019-03-01,Gasto de consumo,ejecutado,8879883264.6,272992805,8879883264.6,272992804.9
2019-03-01,Gasto de consumo,ejecutado,2469208236.04,75910467,2469208236.04,75910466.6
2019-06-01,Gasto de consumo,ejecutado,18683543171.37,567478448,16214334935.329998,492480764.1
2019-06-01,Gasto de consumo,ejecutado,4695561003.26,142619076,-13987982168.109999,-424859371.3
2019-09-01,Gasto de consumo,ejecutado,27832923782.22,835097202,23137362778.96,694211900.6
2019-09-01,Gasto de consumo,ejecutado,5819129911.67,174596789,-22013793870.550003,-660500413.5
2019-12-01,Gasto de consumo,ejecutado,41129209675.12,1220279761,35310079763.450005,1047629556.4
2019-12-01,Gasto de consumo,ejecutado,10044824775.76,298024116,-31084384899.36,-922255644.3
2020-03-01,Gasto de consumo,ejecutado,10562519096.84,310990857,10562519096.84,310990857
2020-03-01,Gasto de consumo,ejecutado,2562226814.11,75439306,2562226814.11,75439306.2
2020-06-01,Gasto de consumo,ejecutado,21368679225.63,624548281,18806452411.52,549661371.3
2020-06-01,Gasto de consumo,ejecutado,5938051091.92,173553057,-15430628133.710001,-450995224.1
2020-09-01,Gasto de consumo,ejecutado,29554254693.38,857430609,23616203601.46,685155354.3
2020-09-01,Gasto de consumo,ejecutado,8507044988.75,246807130,-21047209704.63,-610623479.8
2005-03-01,Gastos de la propiedad,ejecutado,188856892.85,11495474,188856892.85,11495473.9092
2005-06-01,Gastos de la propiedad,ejecutado,430933210.57,25914947,242076317.72,14557696.3827
2005-09-01,Gastos de la propiedad,ejecutado,540411664.06,32100686,109478453.48999995,6503067.4146
2005-12-01,Gastos de la propiedad,ejecutado,840417894.87,49315433,300006230.81000006,17604262.2571
2006-03-01,Gastos de la propiedad,ejecutado,465745445.37,26999366,465745445.37,26999365.5374
2006-06-01,Gastos de la propiedad,ejecutado,727141496.49,41645670,261396051.12,14970970.1709
2006-09-01,Gastos de la propiedad,ejecutado,1222461227.35,69163069,495319730.8599999,28023655.8107
2006-12-01,Gastos de la propiedad,ejecutado,1598989386.92,89360082,376528159.5700002,21042407.9785
2007-03-01,Gastos de la propiedad,ejecutado,476057265.32,26282989,476057265.32,26282988.8843
2007-06-01,Gastos de la propiedad,ejecutado,730045914.16,39820973,253988648.83999997,13854026.2265
2007-09-01,Gastos de la propiedad,ejecutado,1224832513.9,65997356,494786599.7400001,26660467.324
2007-12-01,Gastos de la propiedad,ejecutado,1518873540.52,80840793,294041026.6199999,15650091.3368
2008-03-01,Gastos de la propiedad,ejecutado,498748470.79,26223220,498748470.79,26223220.0609
2008-06-01,Gastos de la propiedad,ejecutado,605949724.12,31475502,107201253.32999998,5568470.635
2008-09-01,Gastos de la propiedad,ejecutado,1123386361.01,57645838,517436636.89,26551923.2834
2008-12-01,Gastos de la propiedad,ejecutado,1325541703.45,67190178,202155342.44000006,10247020.7932
2009-03-01,Gastos de la propiedad,ejecutado,555577455.36,27821563,555577455.36,27821563.4114
2009-06-01,Gastos de la propiedad,ejecutado,756740684.12,37439521,201163228.76,9952491.1368
2009-09-01,Gastos de la propiedad,ejecutado,1316500803.05,64341671,559760118.93,27357295.3956
2009-12-01,Gastos de la propiedad,ejecutado,1525565110.37,73648013,209064307.31999993,10092765.4137
2010-03-01,Gastos de la propiedad,ejecutado,621530060.23,29642157,621530060.23,29642156.9145
2010-06-01,Gastos de la propiedad,ejecutado,920702465.76,43382350,299172405.53,14096629.9444
2010-09-01,Gastos de la propiedad,ejecutado,1533589172.74,71382378,612886706.98,28527399.2239
2010-12-01,Gastos de la propiedad,ejecutado,1859851934.8,85510515,326262762.05999994,15000601.0048
2011-03-01,Gastos de la propiedad,ejecutado,639675089.11,29054794,639675089.11,29054793.945
2011-06-01,Gastos de la propiedad,ejecutado,1004062832.98,45057327,364387743.87,16351902.8543
2011-09-01,Gastos de la propiedad,ejecutado,1746181865.37,77407340,742119032.3899999,32897753.2661
2011-12-01,Gastos de la propiedad,ejecutado,2130224438.72,93277542,384042573.35000014,16816325.3093
2012-03-01,Gastos de la propiedad,ejecutado,763249156.7,33015176,763249156.7,33015176.0243
2012-06-01,Gastos de la propiedad,ejecutado,1143149002.47,48851932,379899845.77,16234840.2037
2012-09-01,Gastos de la propiedad,ejecutado,1938410266.55,81832762,795261264.0799999,33573091.8967
2012-12-01,Gastos de la propiedad,ejecutado,2326783538.66,97031162,388373272.1099999,16195881.2785
2013-03-01,Gastos de la propiedad,ejecutado,735376486.66,30296290,735376486.66,30296289.6636
2013-06-01,Gastos de la propiedad,ejecutado,1165313888.97,47431721,429937402.31000006,17499723.627
2013-09-01,Gastos de la propiedad,ejecutado,1944213150.68,78173202,778899261.71,31318093.3444
2013-12-01,Gastos de la propiedad,ejecutado,2328086529.79,92463908,383873379.1099999,15246182.8166
